Pedurma-ID,Other-ID,Title,Image-group,Range,First-image,Last-image
AT0072,Q2061,dus mchod chen,I1PD95846,775-779,I1PD958460813.jpg,I1PD958460817.jpg
AT0073,Q2063,e ka nA tha'i don 'grel,I1PD95846,780-782,I1PD958460818.jpg,I1PD958460820.jpg
AT0282,,nyi zla 'dzin pa'i rtsis,I1PD95852,1587-1589,I1PD958521616.jpg,I1PD958521618.jpg
AT0287,Q2105,rje btsun 'phags ma sgrol ma'i sgrub thabs,I1PD95853,51-53,I1PD958530084.jpg,I1PD958530086.jpg
AT0639,Q2607,dus mtshams srang mda'i las,I1PD95859,1203-1204,I1PD958591266.jpg,I1PD958591267.jpg
AT0708,,mngon par byang chub pa'i rim pa'i man ngag,I1PD95863,314-321,I1PD958630347.jpg,I1PD958630354.jpg
AT0837,Q5087,maN+Dal gyi cho ga zhes bya ba,I1PD95869,170-172,I1PD958690235.jpg,I1PD958690237.jpg
AT0860,,tshogs kyi 'khor lo'i cho ga zhes bya ba,I1PD95869,264-271,I1PD958690329.jpg,I1PD958690336.jpg
AT0875,Q2833,gtor ma nye bar sbyang ba,I1PD95869,361-363,I1PD958690426.jpg,I1PD958690428.jpg
AT0893,Q4805,rdo rje 'jigs byed kyi sgrub thabs zhes bya ba,I1PD95869,594-596,I1PD958690659.jpg,I1PD958690661.jpg
AT0907,Q2856,dpal gshin rje gshed nag po'i 'khor lo'i cho ga,I1PD95869,688-694,I1PD958690753.jpg,I1PD958690759.jpg
AT0938,,gshin rje gshed dmar po'i sgrub thabs,I1PD95869,1149-1152,I1PD958691216.jpg,I1PD958691219.jpg
AT0953,Q2902,las kyi gshin rje chos kyi rgyal po'i bsgrub thabs,I1PD95869,1245-1251,I1PD958691312.jpg,I1PD958691318.jpg
AT0999,Q3363,'phags pa 'jam dpal gyi mtshan yang dag par brjod pa'i rgya cher 'grel pa,I1PD95869,1392-1462,I1PD958691459.jpg,I1PD958691529.jpg
AT1007,Q5415,'phags pa 'jam dpal gyi mtshan yang dag par brjod pa'i 'grel pa snying po mngon par rtogs pa zhes bya ba,I1PD95870,258-350,I1PD958700319.jpg,I1PD958700411.jpg
AT1024,,ro'i rab gnas cho ga,I1PD95870,447-450,I1PD958700508.jpg,I1PD958700511.jpg
AT1092,N1826,rten 'brel gyi mthus bsrung ba,I1PD95870,1226-1227,I1PD958701289.jpg,I1PD958701290.jpg
AT1118,,'phags pa lag na rdo rje gos sngon can gyi sgrub thabs kyi man ngag rgya cher bshad pa'i 'grel pa,I1PD95870,1627-1649,I1PD958701690.jpg,I1PD958701712.jpg
AT1166,Q3105,grub mtha' bdun pa zhes bya ba,I1PD95871,937-940,I1PD958710994.jpg,I1PD958710997.jpg
AT1207,Q3147,sangs rgyas 'char ba,I1PD95871,1572-1575,I1PD958711631.jpg,I1PD958711634.jpg
AT1262,,glu,I1PD95872,43-44,I1PD958720102.jpg,I1PD958720103.jpg
AT2651,,glu,I1PD95872,49-50,I1PD958720108.jpg,I1PD958720109.jpg
AT1266,,glu,I1PD95872,51-52,I1PD958720110.jpg,I1PD958720111.jpg
AT1385,Q3308,rdo rje theg pa'i rtsa ba'i ltung ba zhes bya ba,I1PD95872,694-696,I1PD958720753.jpg,I1PD958720755.jpg
AT1443,Q3363,'phags pa 'jam dpal gyi mtshan yang dag par brjod pa'i dka' 'grel,I1PD95877,1192-1397,I1PD958771219.jpg,I1PD958771424.jpg
AT1445,,'phags pa 'jam dpal gyi mtshan yang dag par brjod pa'i 'grel pa,I1PD95877,1437-1574,I1PD958771464.jpg,
AT1485,,'phags pa 'jam dpal gyi mtshan yang dag par brjod pa'i sgrub pa'i thabs,I1PD95878,220-252,I1PD958780259.jpg,I1PD958780291.jpg
AT1513,Q4805,rdo rje 'jigs byed kyi sgrub thabs zhes bya ba,I1PD95878,1043-1045,I1PD958781084.jpg,I1PD958781086.jpg
AT1525,,'phags pa 'jam dpal gyi mtshan yang dag par brjod pa'i sgrub thabs,I1PD95878,1092-1136,I1PD958781133.jpg,I1PD958781177.jpg
AT1532,Q3453,bcom ldan 'das de bzhin gshegs pa dgra bcom pa yang dag par rdzogs pa'i sangs rgyas ngan song thams cad yongs su sbyong ba gzi brjid kyi rgyal po'i rgyud kyi rgyal po chen po'i rnam par bshad pa mdzes pa'i rgyan zhes bya ba,I1PD95879,3-538,I1PD958790034.jpg,I1PD958790569.jpg
AT1567,Q3485,rgyan dam pa sna tshogs pa rim par phye ba bkod pa,I1PD95879,1631-1693,I1PD958791664.jpg,I1PD958791726.jpg
AT1605,N2317a,chos spyod thams cad kyi man ngag mngon par rtogs pa'i rnam bshad gzi brjid snang ba zhes bya ba,I1PD95882,173-248,I1PD958820230.jpg,I1PD958820305.jpg
AT1611,Q3526,bcom ldan 'das 'jam pa'i dbyangs kyi dpyad pa,I1PD95882,275-285,I1PD958820332.jpg,I1PD958820342.jpg
AT1646,,dpal 'phags pa spyan ras gzigs dbang phyug la bstod pa zhes bya ba,I1PD95882,459-461,I1PD958820516.jpg,I1PD958820518.jpg
AT1660,Q4839,'phags pa yi ge drug pa'i sgrub thabs,I1PD95882,711-714,I1PD958820768.jpg,I1PD958820771.jpg
AT1661,Q3675,'phags pa spyan ras gzigs dbang phyug gi sgrub thabs,I1PD95882,715-716,I1PD958820772.jpg,I1PD958820773.jpg
AT1672,Q3686,dpal 'jig rten dbang phyug mkha' la gshegs pa'i sgrub thabs rgyas pa,I1PD95882,744-753,I1PD958820801.jpg,I1PD958820810.jpg
AT1678,Q3694,gnod sbyin gyi sde dpon chen po lag na rdo rje zhes bya ba'i sgrub pa'i thabs,I1PD95882,783-793,I1PD958820840.jpg,I1PD958820850.jpg
AT1699,Q3716,bcom ldan 'das phyag na rdo rje gos sngon po can gyi sgrub pa'i thabs zhes bya ba,I1PD95882,908-912,I1PD958820965.jpg,I1PD958820969.jpg
AT1779,Q3902,mchod rten gyi cha rnam par dbye ba,I1PD95883,525-534,I1PD958830570.jpg,I1PD958830579.jpg
AT1782,Q3916,'phags pa de bzhin gshegs pa'i gtsug tor nas byung ba'i gdugs dkar mo can gzhan gyis mi thub ma phyir bzlog pa zhes bya ba'i gzungs kyi sgrub thabs,I1PD95883,555-560,I1PD958830600.jpg,I1PD958830605.jpg
AT1862,Q3675,'phags pa spyan ras gzigs dbang phyug gi sgrub thabs,I1PD95884,541-543,I1PD958840596.jpg,I1PD958840598.jpg
AT1979,N3937,gshin rje nag po'i sgrub thabs,I1PD95884,899-901,I1PD958840956.jpg,I1PD958840958.jpg
AT1980,,gshin rje gshed nag po'i sgrub thabs,I1PD95884,902-905,I1PD958840959.jpg,I1PD958840962.jpg
AT2022,,gshin rje nag po'i sgrub pa'i thabs,I1PD95885,83-84,I1PD958850172.jpg,I1PD958850173.jpg
AT2023,,gshin rje gshed nag po'i sgrub thabs,I1PD95885,85-87,I1PD958850174.jpg,I1PD958850176.jpg
AT2024,,gshin rje gshed nag po sgrub pa'i thabs,I1PD95885,88-90,I1PD958850177.jpg,I1PD958850179.jpg
AT2052,,shes rab kyi pha rol tu phyin ma'i sgrub thabs,I1PD95885,175-177,I1PD958850264.jpg,I1PD958850266.jpg
AT2055,,gtum po chen po'i sgrub thabs,I1PD95885,184-185,I1PD958850273.jpg,I1PD958850274.jpg
AT2176,,gtum po chen po'i sgrub thabs,I1PD95885,616-617,I1PD958850705.jpg,I1PD958850706.jpg
AT2177,,gtum po chen po'i sgrub thabs,I1PD95885,618-620,I1PD958850707.jpg,I1PD958850709.jpg
AT2178,,gtum po chen po'i sgrub thabs,I1PD95885,621-625,I1PD958850710.jpg,I1PD958850714.jpg
AT2435,N3352,chos skyong ba'i rgyal po rnam thos sras la bstod pa,I1PD95886,789-795,I1PD958860838.jpg,I1PD958860844.jpg
AT2478,Q4860,chu gtor gyi cho ga,I1PD95886,1269-1272,I1PD958861318.jpg,I1PD958861321.jpg
AT2485,Q2135,rdo rje mkha' 'gro'i rnam par 'grel pa'i bshad sbyar zhes bya ba,I1PD95887,3-481,I1PD958870058.jpg,I1PD958870536.jpg
AT2486,N925a,dpal rdo rje mkha' 'gro rgyud kyi de kho na nyid rab tu bstan par byed pa zhes bya ba'i dka' 'grel,I1PD95887,482-518,I1PD958870537.jpg,I1PD958870573.jpg
AT2487,Q4604,rgyun chags kyi tshigs su bcad pas bstod pa,I1PD95887,521-526,I1PD958870578.jpg,I1PD958870583.jpg
AT2488,Q4605,mi pham mgon po la bstod pa 'chi slu ma zhes bya ba,I1PD95887,527-528,I1PD958870584.jpg,I1PD958870585.jpg
AT2489,Q4606,de bzhin gshegs pa thams cad la bstod pa zhes bya ba,I1PD95887,529-531,I1PD958870586.jpg,I1PD958870588.jpg
AT2490,Q4607,bla ma'i bris thang rgyab yig,I1PD95887,532-533,I1PD958870589.jpg,I1PD958870590.jpg
AT2491,Q4608,dus kyi 'khor lo'i rgyud kyi snying po'i 'grel pa dri ma med pa'i 'od ces bya ba,I1PD95887,534-549,I1PD958870591.jpg,I1PD958870606.jpg
AT2493,Q4610,rang gi lta ba'i 'dod pa mdor bstan pa yongs su brtag pa,I1PD95887,570-634,I1PD958870627.jpg,I1PD958870691.jpg
AT2494,Q4611,rdo rje tshig gi rnam par dbye ba,I1PD95887,635-646,I1PD958870692.jpg,I1PD958870703.jpg
AT2495,Q4612,gnyis su med pa'i rnal 'byor zhes bya ba,I1PD95887,647-652,I1PD958870704.jpg,I1PD958870709.jpg
AT2496,Q4613,tshigs bcad bcu pa zhes bya ba lam gyi rim pa,I1PD95887,653-656,I1PD958870710.jpg,I1PD958870713.jpg
AT2497,Q4614,bcom ldan 'das dpal 'khor lo sdom pa'i sgrub thabs zhes bya ba,I1PD95887,657-683,I1PD958870714.jpg,I1PD958870740.jpg
AT2498,Q4615,bcom ldan 'das dpal bde mchog rdo rje nam mkha' lding gi bsgrub thabs,I1PD95887,684-688,I1PD958870741.jpg,I1PD958870745.jpg
AT2499,,dpa' bo gcig pa'i bsgrub thabs zhes bya ba,I1PD95887,689-692,I1PD958870746.jpg,I1PD958870749.jpg
AT2500,Q4617,dpa' bo gcig pa'i sbyin bsreg gi cho ga,I1PD95887,693-697,I1PD958870750.jpg,I1PD958870754.jpg
